,precision,recall,f1-score,support
Apathetic,0.29832810867293624,0.11925647451963241,0.17039689644882125,4788.0
Calm,0.45188284518828453,0.06315789473684211,0.11082606464853771,1710.0
Content,0.5480968858131487,0.5884725612992251,0.5675675675675675,9421.0
Depressed,0.4697286012526096,0.22947475777664456,0.30832476875642345,1961.0
Despairing,0.4453688297282307,0.286376604850214,0.3485999565878012,2804.0
Elated,0.4752688172043011,0.3058118081180812,0.37215829357283187,2168.0
Happy,0.4969818913480885,0.38497506234413964,0.4338661514140172,3208.0
Melancholic,0.3388804841149773,0.20635651773376323,0.2565130260521042,4342.0
Neutral,0.4114479747756488,0.7208907020227775,0.5238874648713752,11766.0
accuracy,0.44469740087269966,0.44469740087269966,0.44469740087269966,0.44469740087269966
macro avg,0.4373316042331362,0.3227524870445911,0.3435711322132755,42168.0
weighted avg,0.43805501880191366,0.44469740087269966,0.4128971584993467,42168.0
